"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.311816900E-2,-2.007484436E-4,1.001358032E-3,1.927661896E-2
4.315841600E-2,3.685206175E-4,-1.932561398E-3,-3.641414642E-2
5.322917800E-2,3.302246332E-4,-8.698105812E-4,-2.330112457E-2
6.326942500E-2,-6.349533796E-4,-2.538084984E-3,-4.015064240E-2
7.330967100E-2,-2.129524946E-4,6.400942802E-4,2.717971802E-4
8.334991700E-2,-8.284598589E-4,2.709150314E-3,4.806327820E-2
9.342068000E-2,-4.924237728E-4,4.135608673E-3,6.753158569E-2
1.034609260E-1,-5.142167211E-4,6.453216076E-3,1.058378220E-1
1.135011720E-1,-5.754530430E-4,8.025825024E-3,1.277008057E-1
1.235414180E-1,-8.205026388E-4,7.318913937E-3,1.140213013E-1
1.335816640E-1,-8.104294538E-4,8.674681187E-3,1.292657852E-1
1.436524270E-1,-1.350790262E-3,6.111145020E-3,9.266376495E-2
1.536926740E-1,6.584078074E-5,-1.456499100E-3,-2.229118347E-2
1.637329190E-1,-1.251950860E-3,4.916071892E-3,7.603836060E-2
1.737731650E-1,3.917962313E-4,-1.821637154E-3,-1.877975464E-2
1.838439290E-1,-7.767975330E-4,4.575908184E-3,7.698059082E-2
1.938841750E-1,-4.049837589E-4,1.338243484E-3,1.938915253E-2
2.039244200E-1,2.987682819E-5,1.079559326E-3,1.937866211E-2
2.139646660E-1,-6.907433271E-4,2.110183239E-3,3.299713135E-2
2.240049130E-1,3.419071436E-4,-1.669287682E-3,-2.665424347E-2
2.340756750E-1,-6.852596998E-4,2.756595612E-3,4.539394379E-2
2.441159220E-1,9.977519512E-4,-1.061558723E-3,-1.056480408E-2
2.541561680E-1,-1.088775694E-3,5.126476288E-3,9.132099152E-2
2.641964140E-1,-6.778836250E-4,2.406358719E-3,2.873611450E-2
2.742671770E-1,-1.406066120E-3,7.502853870E-3,1.311740875E-1
2.843074230E-1,-1.780375838E-3,4.972279072E-3,8.205699921E-2
2.943476690E-1,-8.342191577E-4,3.468692303E-3,6.043052673E-2
3.044184320E-1,-1.206189394E-3,3.949880600E-3,6.498432159E-2
3.144586780E-1,5.706629902E-2,-3.619617224E-2,-3.083896637E-2
3.244989240E-1,-2.005976439E-2,-1.020389795E-2,1.226997375E-2
3.345391710E-1,2.950456738E-2,-2.237868309E-2,-8.589172363E-2
3.445794160E-1,7.506042719E-3,-1.481539011E-2,2.660846710E-2
3.546501790E-1,4.006984085E-2,9.839773178E-3,-1.893615723E-2
3.646904260E-1,3.203673661E-2,2.299106121E-2,1.342134476E-1
3.747306720E-1,1.216867566E-2,5.695211887E-2,1.293897629E-1
3.847709170E-1,6.553172320E-2,2.836805582E-2,2.514619827E-1
3.948416810E-1,-7.147818804E-3,7.534635067E-2,2.826261520E-1
4.048819270E-1,3.456597775E-2,5.304932594E-2,2.947587967E-1
4.149221720E-1,1.674955338E-2,7.907277346E-2,3.453168869E-1
4.249624180E-1,8.942815661E-2,6.849735975E-2,2.787361145E-1
4.350331820E-1,6.030053645E-2,4.968827963E-2,4.301128387E-1
4.450734280E-1,8.145177364E-2,4.177701473E-2,3.612976074E-1
4.551136740E-1,6.476144493E-2,9.020507336E-3,5.176095963E-1
4.651539200E-1,-1.678243279E-3,5.164742470E-2,4.082622528E-1
4.752246840E-1,4.910502583E-2,5.225592852E-2,3.636589050E-1
4.852649290E-1,-1.187610626E-2,9.537518024E-2,2.018079758E-1
4.953051750E-1,9.289631248E-2,6.674832106E-2,1.070175171E-1
5.053759390E-1,2.816443145E-2,9.764748812E-2,1.270351410E-1
5.154161850E-1,8.575268835E-2,6.563943624E-2,5.118179321E-2
5.254564300E-1,3.302522004E-2,3.526598215E-2,1.284494400E-1
5.354966760E-1,4.706494510E-2,4.884850979E-2,-5.051803589E-2
5.455674400E-1,4.498011619E-2,-9.881377220E-3,-5.961894989E-2
5.556076850E-1,2.963866293E-2,2.370417118E-3,-2.268285751E-1
5.656479320E-1,6.807590276E-2,-5.024707317E-2,-2.457361221E-1
5.756881780E-1,-5.119681358E-3,-6.189191341E-2,-2.624263763E-1
5.857589420E-1,4.817555100E-2,-1.014250517E-1,-2.338647842E-1
5.957991870E-1,-4.395870864E-2,-1.323214769E-1,-1.026144028E-1
6.058394330E-1,5.744695663E-3,-1.035968661E-1,-6.235122681E-2
6.158796790E-1,-3.367586434E-2,-1.101065874E-1,6.661701202E-2
6.259199250E-1,-1.129175723E-2,-7.026189566E-2,6.544113159E-3
6.359906880E-1,-1.273649931E-2,-5.797094107E-2,9.260940552E-2
6.460309340E-1,-1.163323224E-2,2.534389496E-4,1.643180847E-3
6.560711810E-1,-5.713298917E-3,4.753333330E-2,-1.979446411E-2
6.661114260E-1,1.411043108E-2,9.359681606E-2,-4.520416260E-4
6.761821900E-1,2.134916186E-2,1.616649032E-1,4.295730591E-2
6.862224360E-1,4.672956467E-2,1.886317134E-1,1.151065826E-1
6.962626820E-1,4.564198852E-2,2.121126056E-1,1.394481659E-1
7.063029270E-1,6.587119401E-2,2.150828838E-1,1.737594604E-1
7.163736910E-1,8.718541265E-2,1.983790398E-1,1.410579681E-1
7.264139370E-1,6.710283458E-2,1.624258161E-1,1.130237579E-1
7.364541820E-1,7.556150854E-2,1.414443851E-1,1.136779785E-1
7.464944290E-1,7.952413708E-2,1.206296086E-1,9.278678894E-2
7.565651920E-1,5.506211519E-2,7.818806171E-2,8.614444733E-2
7.666054390E-1,2.200201154E-2,2.865976095E-2,7.951736450E-2
7.766456840E-1,-1.121401787E-3,-1.422703266E-2,3.224563599E-2
